"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13649","orange hrm add-admin","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","7044","oragngehrm title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","17436","oragngehrm login test","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","549","has title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","30113","oragngehrm login test","chromium","2026-03-12","broken","2026-03-12","","example.spec.js","",""
"","0","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","7381","oragngehrm title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5095","oragngehrm title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","23800","orange hrm add-admin","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","17981","oragngehrm login test","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","19273","orange hrm add-admin","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","16003","logout","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1279","has title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","871","has title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","30161","logout","webkit","2026-03-12","broken","2026-03-12","","example.spec.js","",""
"","18909","logout","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
